jaspar_id,jaspar_name,correlation
MA0872.1,TFAP2A,0.8690346210377862
MA0815.1,TFAP2C,0.8626633307892789
MA0737.1,GLIS3,0.8542092599477306
MA0736.1,GLIS2,0.8530275336648548
MA1584.2,ZIC5,0.8509759765712323
MA0735.2,GLIS1,0.847504069742628
MA1987.2,ZNF701,0.846137144166749
MA1976.2,ZNF320,0.8442146385363921
MA0696.1,ZIC1,0.8423941577646232
MA0813.1,TFAP2B,0.8400558780324232
MA0753.3,ZNF740,0.8391730683455559
MA0751.2,ZIC4,0.829746113833058
MA1578.2,VEZF1,0.8265780643583597
MA0597.3,THAP1,0.817072941455418
MA0163.1,PLAG1,0.8123908273777023
MA1961.2,PATZ1,0.81228921750307
MA0810.2,TFAP2A,0.8122210541330515
MA1723.2,PRDM9,0.8071431593245848
MA0747.2,SP8,0.8042774618141064
MA0471.3,E2F6,0.7982318890203874
MA1712.2,ZNF454,0.7965170723169154
MA1653.2,ZNF148,0.7963904745138932
MA1122.2,TFDP1,0.7870931988339369
MA1630.3,ZNF281,0.7860221475838165
MA1597.1,ZNF528,0.7832706569986487
MA1522.2,MAZ,0.7827189011740024
MA1514.2,KLF17,0.775808312803037
MA1981.2,ZNF530,0.7706592517544666
MA0516.3,SP2,0.7697964023533597
MA0758.1,E2F7,0.7676311375704701
MA0742.2,KLF12,0.7665079964648127
MA0811.2,TFAP2B,0.7660532859426503
MA0657.2,KLF13,0.7656431800787685
MA1149.2,RARA::RXRG,0.7653275294031036
MA0524.3,TFAP2C,0.7642398004625468
MA1513.2,KLF15,0.7641540194358948
MA0685.2,SP4,0.7627106040600079
MA1654.2,ZNF16,0.7623734285526218
MA1102.3,CTCFL,0.7591432418614604
MA2328.1,ZBED4,0.7564487287610708
MA1722.2,ZSCAN31,0.753336608980196
MA0079.5,SP1,0.7515747421219202
MA0865.3,E2F8,0.7480546143434985
MA1511.2,KLF10,0.7436795588803953
MA0493.3,KLF1,0.7361168341366489
MA0740.2,KLF14,0.7282955935909611
MA0599.1,KLF5,0.7276735563406699
MA1929.2,CTCF,0.7224939416840466
MA0733.2,EGR4,0.7218332210732838
MA1627.2,Wt1,0.7209168850403367
MA0155.1,INSM1,0.7197422476856072
MA1959.2,KLF7,0.7064650147375978
MA1930.2,CTCF,0.7030537586466103
MA1637.2,EBF3,0.7020253614161469
MA0139.2,CTCF,0.69877902779405
MA0631.2,Six3,0.6963314462735597
MA0162.5,EGR1,0.6917076447027729
MA0732.2,EGR3,0.6914268911823285
MA2122.1,Ebf4,0.6888903389096417
MA1600.2,ZNF684,0.6877853314148257
MA1604.2,Ebf2,0.6874365959373258
MA1569.2,TFAP2E,0.6864547104435447
MA0154.5,EBF1,0.6824091752431536
MA0146.3,Zfx,0.6754368349848955
MA1719.2,ZNF816,0.6686565342298659
MA0073.2,RREB1,0.6678232031033475
MA1596.1,ZNF460,0.6655947918826967
MA1714.2,ZNF675,0.6642967318109068
MA1154.2,ZNF282,0.6638872247684536
MA0039.5,KLF4,0.6629038294136729
MA1711.2,ZNF343,0.6561536409624826
MA0694.2,ZBTB7B,0.6502714223352093
MA0741.1,KLF16,0.649295190935468
MA0860.1,Rarg,0.6472159363209253
MA1715.1,ZNF707,0.6414359491634064
MA0883.2,Dmbx1,0.6360190421578846
MA1548.2,PLAGL2,0.6346345488565852
MA2125.1,Zfp809,0.634488453213585
MA0159.1,RARA::RXRA,0.6276242588035782
MA1965.2,SP5,0.6252996663278402
MA0767.2,GCM2,0.622010294694774
MA0528.3,ZNF263,0.6201113780362391
MA1587.1,ZNF135,0.6136678303829316
MA1564.2,SP9,0.6123586753851774
MA1710.2,ZNF257,0.609744576365021
MA0081.3,SPIB,0.6067774833469594
MA1575.2,THRB,0.6050143699755595
MA1491.3,GLI3,0.6006654469503339
MA0472.2,EGR2,0.6001340481253091
MA2341.1,FEZF2,0.5963291878356255
MA1650.2,ZBTB14,0.5900441119814426
MA1515.2,KLF2,0.5850576636014314
MA1972.1,ZFP14,0.5771033097256787
MA0734.4,Gli2,0.5770729793384111
MA0646.2,GCM1,0.575837968318283
MA0149.1,EWSR1-FLI1,0.574745634481367
MA1512.2,KLF11,0.5732250502361189
MA0116.1,Znf423,0.5715847481671805
MA0746.3,SP3,0.5714127834416897
MA1516.2,KLF3,0.5708285941616287
MA0105.4,NFKB1,0.5674215234990576
MA0595.1,SREBF1,0.5658739631873358
MA2121.1,ZNF213,0.5655102749979596
MA1576.2,THRB,0.5651710178962522
MA1990.2,Gli1,0.563797585770833
MA0730.1,RARA,0.562018508739434
MA0074.1,RXRA::VDR,0.5616917184057673
MA2097.1,ZNF75A,0.561344773272944
MA1945.2,ETV5::FIGLA,0.5577528934255572
MA1716.2,ZNF76,0.556679263671867
MA1973.2,ZKSCAN3,0.5527991838042701
MA0504.2,NR2C2,0.5520009742037487
MA0106.3,TP53,0.5512902622440697
MA1977.2,ZNF324,0.5510117606538145
MA1148.2,PPARA::RXRA,0.550434848303702
MA1731.2,ZNF768,0.5489362672314224
MA1980.1,ZNF418,0.5486202844567043
MA1999.2,Prdm5,0.5476640203280936
MA1982.2,ZNF574,0.5402099734724881
MA0494.2,Nr1h3::Rxra,0.5398846663316423
MA2330.1,ZBTB24,0.5381836188033996
MA1631.2,ASCL1,0.5349949016367869
MA0088.2,ZNF143,0.5348917161380352
MA1656.2,ZNF449,0.5279355744589052
MA1713.2,ZNF610,0.5261590443573981
MA0812.2,TFAP2B,0.5255111966806831
MA0066.2,PPARG,0.5241681109870553
MA0687.2,SPIC,0.5235768146965858
MA0080.7,Spi1,0.5222237567258392
MA1985.1,ZNF669,0.5209155814530899
MA1517.2,KLF6,0.5188635677324701
MA0138.3,REST,0.5169096207772867
MA0071.1,RORA,0.5116315345210568
MA1594.1,ZNF382,0.5103846215438712
MA0596.1,SREBF2,0.50826286185698
MA1615.2,Plagl1,0.5028824434311014
MA1979.2,ZNF416,0.49853839812858813
MA1150.2,RORB,0.4970867193114457
MA1935.2,ERF::FOXI1,0.4951755283629587
MA1483.3,ELF2,0.49476036820704855
MA0065.3,Pparg::Rxra,0.49347270068165444
MA0003.5,TFAP2A,0.4894192210386837
MA1418.2,IRF3,0.4881343334576455
MA1628.2,Zic1::Zic2,0.486274948188253
MA0858.1,Rarb,0.4837784087503846
MA0697.3,Zic3,0.4831277164399895
MA0695.2,ZBTB7C,0.483060217200493
MA1969.2,THRA,0.4824597415932327
MA1629.2,Zic2,0.48181013051102023
MA1531.2,NR1D1,0.47684573655655527
MA1589.2,ZNF140,0.4767287189793796
MA0814.3,TFAP2C,0.47660130893737856
MA0144.3,STAT3,0.47583598645830116
MA0643.2,Esrrg,0.4744388696612196
MA1957.1,HOXB2::ELK1,0.47320554106027873
MA1533.2,NR1I2,0.4704738934147938
MA0641.1,ELF4,0.46667191779287986
MA1151.2,RORC,0.466394454216542
MA1574.2,THRB,0.46504630259519036
MA1721.2,ZNF93,0.46293445629212443
MA0062.4,GABPA,0.4620737151624053
MA1648.2,TCF12,0.4612095210771284
MA0518.2,Stat4,0.46093442489277564
MA0527.2,ZBTB33,0.4608135885817332
MA1726.2,ZNF331,0.46077607892016703
MA1532.2,NR1D2,0.4597118071963472
MA0474.4,Erg,0.4587621043491275
MA1947.2,ETV5::FOXO1,0.45675022220718836
MA2340.1,Zbtb2,0.4544623541871407
MA0764.4,ETV4,0.453849843267866
MA0761.3,ETV1,0.4534034236780317
MA0056.3,MZF1,0.45262579232618166
MA0686.2,SPDEF,0.4496632443284337
MA1155.1,ZSCAN4,0.44801047183632225
MA1938.2,ERF::NHLH1,0.44792953517628076
MA0830.3,TCF4,0.4444221741049588
MA2332.1,ZNF175,0.4439816378299956
MA1107.3,KLF9,0.44364018212836415
MA0098.4,ETS1,0.443114536463917
MA1932.2,ELK1::HOXB13,0.4423624227148841
MA0522.4,TCF3,0.4419200974285511
MA0759.3,ELK3,0.44015671851244503
MA0017.3,NR2F1,0.4395234397162808
MA1949.2,FLI1::DRGX,0.43937563280469727
MA1508.2,IKZF1,0.4388521714307781
MA2099.1,ZNF770,0.4385132778375885
MA1933.2,ELK1::SREBF2,0.43722558577032006
MA1616.2,Prdm15,0.436508843697688
MA1537.2,NR2F1,0.4364306558679776
MA1967.2,TFAP4::FLI1,0.4357728418840421
MA0592.4,ESRRA,0.43514753132615236
MA1645.2,NKX2-2,0.4329742244726148
MA1652.2,ZKSCAN5,0.43175623924673723
MA0137.4,STAT1,0.42956305337791667
MA0677.2,Nr2f6,0.4286487325063302
MA1950.2,FLI1::FOXI1,0.4285468126294695
MA0463.3,BCL6,0.4284858775392398
MA1942.2,ETV2::FOXI1,0.42778093102635867
MA1484.2,ETS2,0.4275329918969791
MA1946.2,ETV5::FOXI1,0.4256196509901091
MA1936.2,ERF::FOXO1,0.4255443504172117
MA1573.2,Thap11,0.42550213250193825
MA1954.2,FOXO1::ELK1,0.4251279806263281
MA0760.2,ERF,0.4249620964065681
MA0104.5,MYCN,0.4247870226396506
MA0059.2,MAX::MYC,0.4244931806285183
MA0839.2,CREB3L1,0.4234191758338778
MA1952.2,FOXJ2::ELF1,0.4226168781181441
MA2003.2,NKX2-4,0.42000417007993446
MA0863.1,MTF1,0.41952642652205435
MA0147.4,MYC,0.41903920789427007
MA0145.2,Tfcp2l1,0.4185636013458885
MA0028.3,ELK1,0.4177400234186703
MA1931.1,ELK1::HOXA1,0.41766599851461494
MA0765.4,ETV5,0.4139412580631951
MA1550.2,PPARD,0.41305484715892277
MA0728.1,Nr2F6,0.4129142007131357
MA0475.3,FLI1,0.41283799979536556
MA0499.3,MYOD1,0.41189795182259853
MA0632.3,TCFL5,0.41146188170379205
MA1559.2,SNAI3,0.4110037714506561
MA1986.2,ZNF692,0.41076915790989765
MA0748.3,YY2,0.41063279813268155
MA1955.2,FOXO1::ELK3,0.409764436535186
MA1109.2,NEUROD1,0.40972155054880915
MA0762.2,ETV2,0.4081980582350605
MA1558.2,SNAI1,0.40787420910285205
MA0141.4,ESRRB,0.4062243549144382
MA1466.2,ATF6,0.40570928341121143
MA0067.3,PAX2,0.40508836745960175
MA1953.2,FOXO1::ELF1,0.4047493094889331
MA0156.4,FEV,0.40437577338148917
MA0690.3,TBX21,0.4029329838590748
MA0668.3,Neurod2,0.40245774923908056
MA1724.2,Rfx6,0.40236438441271566
MA0115.1,NR1H2::RXRA,0.4020891279682975
MA0855.1,RXRB,0.4018721192991013
MA0038.3,GFI1,0.40162542676327656
MA2002.2,Zfp335,0.40003947082652663
MA0140.3,GATA1::TAL1,0.3978799333963727
MA0739.2,Hic1,0.3975457123901107
MA0512.2,Rxra,0.39676455134108135
MA0470.3,E2F4,0.3961465437750671
MA0856.1,RXRG,0.3934939367503589
MA0506.3,Nrf1,0.3923717533178019
MA0763.2,ETV3,0.38995861716196145
MA0799.3,RFX4,0.3883251002762574
MA1494.2,HNF4A,0.38800052430876303
MA1956.2,FOXO1::FLI1,0.3878003782015926
MA0745.3,SNAI2,0.3863635244574732
MA2100.1,ZSCAN16,0.3829470748518214
MA1651.2,ZFP42,0.3817013105441756
MA0072.2,RORA,0.38160612968849295
MA1540.3,NR5A1,0.3815409655335181
MA0752.2,ZNF410,0.38001423892850905
MA1585.2,ZKSCAN1,0.3781477659167422
MA1643.2,NFIB,0.37721833659222254
MA1717.2,ZNF784,0.37700268887173427
MA0505.3,Nr5A2,0.37688771819288747
MA1474.2,CREB3L4,0.3761940964239689
MA0857.1,Rarb,0.3755179414962078
MA2120.1,ZNF184,0.375078668422119
MA1099.3,HES1,0.37424798545432386
MA2126.1,Zfp961,0.3740291002472078
MA1527.2,NFIC,0.3733767700332543
MA0511.2,RUNX2,0.37218599330939317
MA0864.3,E2F2,0.3718187588423098
MA1565.2,TBX18,0.3695409727361269
MA1583.2,ZFP57,0.36921966158175124
MA1528.2,NFIX,0.36883761873908855
MA1642.2,NEUROG2,0.36848841282769274
MA1545.2,OVOL2,0.3684174283451748
MA1105.3,GRHL2,0.368382189863295
MA1114.2,PBX3,0.36505424642975454
MA1467.3,Atoh1,0.36477106829079803
MA0783.1,PKNOX2,0.36459099774756204
MA0119.1,NFIC::TLX1,0.3638728155299414
MA2094.1,PAX8,0.36280708564534464
MA0768.3,Lef1,0.3621114270704273
MA0095.4,Yy1,0.36150658200328195
MA1625.2,Stat5b,0.36125172055453036
MA0729.1,RARA,0.361138078377605
MA0103.4,ZEB1,0.36071690969747217
MA0483.2,Gfi1B,0.35966790358740997
MA1567.3,Tbx6,0.3586018422955023
MA0750.3,ZBTB7A,0.35854829559595186
MA1620.2,Ptf1A,0.35798075945719615
MA1546.2,PAX3,0.357804741576827
MA0673.2,NKX2-8,0.3573448636718699
MA2329.1,ZBTB11,0.3559866394254386
MA1601.2,ZNF75D,0.3554222086812134
MA0859.2,Rarg,0.3529998950829575
MA1728.2,ZNF549,0.35231277512404086
MA0689.1,TBX20,0.35105334441676456
MA1529.2,NHLH2,0.34844295111064494
MA1968.2,TFCP2,0.3474757914863867
MA0744.3,SCRT2,0.3457790964391859
MA0024.3,E2F1,0.3438914047847983
MA0803.1,TBX15,0.34321544769534906
